KIDS_TILE,DMAG_R
KIDS_334.2_-27.2,0.02634135447442532
KIDS_15.9_-29.2,-0.01543157175183296
KIDS_335.5_-31.2,0.02933795750141144
KIDS_182.5_-2.5,-0.04552941769361496
KIDS_331.5_-29.2,0.05188992619514465
KIDS_213.0_-0.5,0.03148313984274864
KIDS_229.0_-0.5,0.05197132378816605
KIDS_156.0_1.5,0.006695210933685303
KIDS_331.8_-28.2,0.01235061138868332
KIDS_235.0_-1.5,0.02734336256980896
KIDS_2.3_-29.2,-0.05713140219449997
KIDS_187.0_-0.5,-0.123858705163002
KIDS_332.0_-31.2,0.02227191254496574
KIDS_135.0_1.5,0.1261338144540787
KIDS_208.0_-1.5,0.04156007990241051
KIDS_238.0_-1.5,0.01387582346796989
KIDS_346.0_-31.2,0.03287770226597786
KIDS_16.3_-31.2,0.04454116523265839
KIDS_175.5_-2.5,0.03301966935396194
KIDS_131.0_-0.5,-0.00113596394658088
KIDS_4.8_-33.1,0.02169817313551903
KIDS_7.2_-34.1,0.00488654151558876
KIDS_236.0_-0.5,0.02858578041195869
KIDS_335.2_-28.2,0.01597472280263901
KIDS_188.0_1.5,0.02209034375846386
KIDS_233.0_0.5,0.0377335287630558
KIDS_343.0_-35.1,0.05340481549501419
KIDS_189.0_0.5,0.000390604138374328
KIDS_182.0_0.5,0.008136935532093048
KIDS_47.4_-28.2,0.004662074148654938
KIDS_8.2_-32.1,0.05783913284540176
KIDS_31.2_-34.1,0.01975993812084198
KIDS_52.7_-27.2,0.03284177184104919
KIDS_30.3_-31.2,0.05969643592834473
KIDS_23.9_-29.2,0.02736277133226395
KIDS_139.0_-0.5,0.03191270679235458
KIDS_169.0_-1.5,-0.02925968542695045
KIDS_36.1_-28.2,0.04551722854375839
KIDS_356.4_-34.1,-0.05150911211967468
KIDS_229.0_-1.5,0.01458356902003288
KIDS_332.4_-30.2,0.1049148589372635
KIDS_191.5_2.5,0.008884210139513016
KIDS_228.0_1.5,-0.03470629081130028
KIDS_45.6_-34.1,0.006007809191942215
KIDS_220.0_-0.5,0.03743298351764679
KIDS_189.0_1.5,-0.03260813653469086
KIDS_48.5_-28.2,0.1193002313375473
KIDS_11.4_-29.2,0.03942794352769852
KIDS_199.0_0.5,-0.06318863481283188
KIDS_225.0_-0.5,0.0118737667798996
KIDS_221.0_-0.5,0.03959172964096069
KIDS_336.7_-31.2,0.07926519215106964
KIDS_194.5_2.5,0.006665222346782684
KIDS_24.0_-34.1,0.04131195321679115
KIDS_25.1_-29.2,0.05631706118583679
KIDS_356.6_-29.2,0.0145043209195137
KIDS_222.6_2.5,0.01740613952279091
KIDS_129.4_2.5,0.03087399527430534
KIDS_185.5_-2.5,-0.0608045905828476
KIDS_44.4_-34.1,0.04850463196635246
KIDS_174.0_-0.5,0.03627082705497742
KIDS_165.0_-0.5,0.002707470208406448
KIDS_196.0_0.5,-0.300569474697113
KIDS_15.3_-32.1,0.04986423999071121
KIDS_8.3_-33.1,-0.08642873913049698
KIDS_333.2_-31.2,0.01885279268026352
KIDS_345.9_-32.1,0.04448806494474411
KIDS_187.0_0.5,0.001329917460680008
KIDS_181.0_-1.5,0.005834793671965599
KIDS_52.4_-29.2,0.01614607311785221
KIDS_228.6_2.5,-0.07011494040489197
KIDS_41.9_-31.2,0.02648394554853439
KIDS_336.0_-34.1,0.02420107647776604
KIDS_21.9_-30.2,0.05405711382627487
KIDS_206.0_-0.5,-0.01970170810818672
KIDS_40.8_-31.2,0.04192878305912018
KIDS_354.3_-29.2,0.02534542419016361
KIDS_342.2_-33.1,0.04604059457778931
KIDS_39.5_-28.2,0.000435296446084976
KIDS_19.2_-34.1,0.02945755049586296
KIDS_178.0_-1.5,-0.0030941218137741
KIDS_339.5_-29.2,0.03288982063531876
KIDS_227.0_-0.5,-0.01233997195959091
KIDS_10.3_-29.2,0.008122455328702927
KIDS_51.1_-35.1,-0.04496483504772186
KIDS_348.2_-32.1,0.04656617715954781
KIDS_45.9_-32.1,0.01832230389118195
KIDS_236.0_0.5,0.04465236887335777
KIDS_27.3_-29.2,0.0552244670689106
KIDS_40.8_-34.1,0.07344875484704971
KIDS_355.2_-34.1,-0.00535429641604423
KIDS_47.5_-33.1,0.0153866708278656
KIDS_191.0_1.5,-0.03991737961769104
KIDS_203.6_2.5,0.01439932733774185
KIDS_49.4_-32.1,0.05562234669923782
KIDS_179.0_-1.5,-0.04676013439893723
KIDS_14.4_-34.1,0.02234679460525513
KIDS_352.9_-32.1,0.05526448786258698
KIDS_329.4_-32.1,0.01488973386585712
KIDS_22.8_-29.2,0.04375483840703964
KIDS_16.9_-28.2,0.03449854254722595
KIDS_345.4_-35.1,0.06542952358722687
KIDS_3.6_-35.1,0.1200733482837677
KIDS_172.0_-0.5,0.003841803409159184
KIDS_45.1_-33.1,0.04687126725912094
KIDS_45.6_-26.2,-0.02545740082859993
KIDS_350.5_-33.1,-0.01502822712063789
KIDS_21.2_-32.1,-0.0042400024831295
KIDS_220.0_0.5,0.01974879950284958
KIDS_179.5_-2.5,0.002419784665107727
KIDS_329.7_-31.2,0.004846526309847832
KIDS_25.2_-34.1,-0.2914607524871826
KIDS_331.2_-34.1,-0.2253403961658478
KIDS_29.1_-31.2,0.05812889710068703
KIDS_337.0_-30.2,0.04988092929124832
KIDS_176.0_-1.5,-0.00479588285088539
KIDS_347.5_-29.2,0.03610950708389282
